layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L3,A0A1D8PKB4,38545,6.8861,0,-8.93704,,-80.63180495953198,-35.647849460534985,-655640.8460512203,-594176.680705649,-61460.66881957588,-655637.656888592,518,0.001932501909323,True,2.6784267557262096,2.6742416649787226,2.0,7.0
L3,A0A1D8PKB4,65458,6.1135,0,-9.82226,,-76.82796016275564,-43.28372790236074,-634574.2114128375,-594176.680705649,-40394.19913151535,-634572.1696503337,628,0.001947502605617,True,3.166698964361665,2.564364206160711,3.0,2.0
L3,A0A1D8PKB4,66338,6.3279,0,-8.75095,,-70.90288651182688,-32.092608047637334,-651552.8656707293,-594176.680705649,-57373.110324918605,-651549.7451220169,484,0.0019590884912759,True,2.977392286947616,2.7042070747965457,5.0,9.0
L3,A0A1D8PKB4,69135,6.8861,0,-9.70938,,-63.76663203706604,-33.123512516525686,-622723.7073136503,-594176.680705649,-28544.26142512252,-622721.8671486177,505,0.0019135471666231,True,2.9616781691681204,2.592324113645613,8.0,5.0
L3,A0A1D8PKB4,121070,6.8239,0,-8.66517,,-47.18767111367291,-16.94766836339537,-617950.6920127932,-594176.680705649,-23771.965056055087,-617949.0409278593,591,0.0015069302171468,True,3.067278808391793,2.813475379852135,10.0,10.0
L3,A0A1D8PKB4,127503,6.7959,0,-9.78738,,-87.73217615291095,-49.217300666801584,-631567.9085127538,-594176.680705649,-37387.423379872766,-631565.2673948657,717,0.0016928347758948,True,2.743720915075386,2.6425186516852928,1.0,3.0
L3,P28347,28596,7.3665,-1,-7.18263,,-162.88829306717022,-1865.4820734229177,-892833.1792554236,-837398.4952865347,-55427.62046396861,-892735.4469761879,1000,0.6055592894554138,False,2.7621616453634905,2.4894284072510726,1.0,6.0
L3,P28347,30720,6.7447,-1,-7.22929,,-47.51927893759065,-23.383197743871666,-879718.8894448866,-837398.4952865347,-42318.33352738659,-879715.8053211381,456,0.0018652913859114,True,3.072484935979821,2.833588755954575,8.0,5.0
L3,P28347,52030,7.2218,-1,-10.16104,,-63.33430025509664,-39.95724925871375,-868004.0887974331,-837398.4952865347,-30602.84707570007,-868002.3094479952,376,0.0019027155358344,True,2.967680277328533,2.7802716286256284,3.0,1.0
L3,P28347,64839,6.4248,-1,-7.15939,,-67.94715026249203,3.693452113391328,-925936.3891856734,-837398.4952865347,-88534.94743183187,-925930.3018289102,1000,0.0042766286060214,False,2.798784178104954,2.5532638931725486,2.0,7.0
L3,P28347,76968,6.0458,-1,-9.28079,,-58.28112752849916,-18.56085669306873,-877614.119474349,-837398.4952865347,-40213.09687892483,-877611.7134960373,364,0.0018943932373076,True,3.090167994954777,2.69490010318009,4.0,2.0
