dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L2/O95819,140980,-6.226383554118533,-1.9952058443124088,0.0,-8.22158939843095
t3,L2/P05177,10077,12.869905497932546,3.91736992106928e-05,0.0,12.869944671631757
t3,L2/P05177,25940,10.440071238114022,-3.505015192484251e-05,0.0,10.4400361879621
t3,L2/P05177,26843,6.204941459917664,1.3745157618316739e-05,0.0,6.2049552050752865
t3,L2/P05177,30538,13.719797805921749,8.247094573476943e-06,0.0,13.719806053016324
t3,L2/P05177,41092,7.839635866225415,-3.436289404490367e-05,0.0,7.839601503331371
t3,L2/P05177,64085,9.56014851781547,-3.4362894041350955e-06,0.0,9.560145081526066
t3,L2/P05177,78823,-4.574608732059623,3.0239346758165198e-05,0.0,-4.574578492712863
t3,L2/P05177,105080,-2.6075924778091615,-4.879530954404743e-05,0.0,-2.607641273118709
t3,L2/P05177,111016,-15.291606729196484,-3.9860957090631643e-05,0.0,-15.291646590153576
t3,L2/P05177,132735,0.8937445111968678,7.55983668909721e-06,0.0,0.8937520710335569
t3,L2/P06730,5837,5.86550959395764,2.1992252190017325e-05,0.0,5.865531586209826
t3,L2/P06730,24263,-10.192393122138007,-18.138799483785263,0.0,-28.331192605923277
t3,L2/P06730,37435,-4.739476045253539,-108.23983664477599,0.0,-112.97931269002959
t3,L2/P06730,52994,0.9725241919724397,-43.798330340253955,0.0,-42.825806148281515
t3,L2/P06730,81910,-2.2463587376442717,-38.01040391126906,0.0,-40.25676264891334
t3,L2/P06730,102901,14.177459339603168,-102.16927128872987,0.0,-87.9918119491267
t3,L2/P06730,112781,-1.75557413152508,-66.82956662225321,0.0,-68.5851407537783
t3,L2/P06730,119182,-17.66991109378715,-41.98212905811262,0.0,-59.65204015189978
t3,L2/P06730,138367,5.220481650092864,-12.675017632969125,0.0,-7.454535982876266
t3,L2/P06730,141611,11.348327886723652,-51.40058046284962,0.0,-40.052252576125966
t3,L2/P08254,6098,29.94299016491079,3.8486441329865784e-05,0.0,29.943028651352115
t3,L2/P08254,37405,8.909635907230866,0.20279880452305932,0.0,9.112434711753925
t3,L2/P08254,39528,-7.671028140940807,0.5552713793767765,0.0,-7.115756761564036
t3,L2/P08254,45129,15.077383653027079,-0.00011545932398604464,0.0,15.077268193703095
