mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
66023,230,0,,0,-7.08964,-274537.98153602896,-194591.70551983043,-79944.060776131,-2.215240067540435,-51.08464953381987,51.08464953381987,40.0,210.0
23706,2,1,8.0,0,-8.02176,-228454.2641801998,-194591.70551983043,-33860.35155129513,-2.20710907423927,-50.89714437388791,50.89714437388791,41.0,134.0
39406,169,0,,0,-8.22315,-233042.32094298225,-194591.70549166933,-38448.41519232973,-2.200258983182721,-50.73917752143426,50.73917752143426,42.0,105.0
8457,0,1,8.0,0,-8.93211,-230540.363128376,-194591.70550220693,-35946.459302747186,-2.19832342187874,-50.69454241740472,50.69454241740472,43.0,30.0
59001,177,0,,0,-6.66088,-216635.70802279445,-194591.70549166933,-22041.813272638552,-2.189258486570907,-50.48550004315696,50.48550004315696,44.0,230.0
100013,6,1,8.0,0,-7.85963,-233617.26827931704,-194591.70551983043,-39023.38327865768,-2.1794808289341745,-50.26002190155368,50.26002190155368,45.0,148.0
15531,78,0,,0,-7.65297,-264810.5492196541,-194591.70551983043,-70216.66871350058,-2.1749863231088966,-50.15637613499487,50.15637613499487,46.0,172.0
30513,236,0,,0,-7.35971,-253518.43159846932,-194591.70550220693,-58924.56156933847,-2.164526923959784,-49.91517666063721,49.91517666063721,47.0,195.0
107578,136,0,,0,-7.16556,-344498.92273174034,-194591.70550220693,-149905.05484688177,-2.162382651644293,-49.86572856634397,49.86572856634397,48.0,207.0
109201,67,0,,0,-7.72881,-263211.59925447864,-194591.70551983043,-68617.7658911121,-2.127843536116416,-49.06923764068607,49.06923764068607,49.0,160.0
85176,60,0,,0,-8.58395,-230492.1180415484,-194591.70550220693,-35898.30047735726,-2.112061984196771,-48.70530640780171,48.70530640780171,50.0,59.0
104129,229,0,,0,-8.93249,-245862.3069369377,-194591.70549166933,-51268.49188811513,-2.109557153242349,-48.64754363376965,48.64754363376965,51.0,29.0
38849,19,1,8.0,0,-7.92268,-246961.38132478972,-194591.70551983043,-52367.576042296976,-2.0997626623429824,-48.42167730790824,48.42167730790824,52.0,143.0
132853,15,1,8.0,0,-8.60443,-240270.27317036368,-194591.70551983043,-45676.49060786795,-2.077042665303452,-47.897741729466624,47.897741729466624,53.0,55.0
55571,197,0,,0,-8.76772,-244794.434046502,-194591.70549166933,-50200.65612734243,-2.072427490260452,-47.79131326464085,47.79131326464085,54.0,44.0
110066,216,0,,0,-7.52245,-251183.6256943973,-194591.70550220693,-56589.86113350763,-2.059058682760224,-47.483021239843495,47.483021239843495,55.0,181.0
99711,50,1,8.0,0,-8.14782,-231077.4365104943,-194591.70551983043,-36483.70116895575,-2.0298217081217445,-46.80880058777025,46.80880058777025,56.0,118.0
27919,53,1,8.0,0,-8.10232,-232584.94208971696,-194591.70549166933,-37991.21792655008,-2.0186714975498035,-46.55167062355453,46.55167062355453,57.0,123.0
